year,tourney,round,result,opponent,avg speed,1st avg,1st stdev,1st t avg,1st wide avg,max 1st,min 1st,2nd avg,2nd stdev,2nd t avg,2nd wide avg,max 2nd,min 2nd,surface
2021,Wimbledon,QF,L,Hurkacz,107.0,112.7,6.5,117.4,109.1,122.0,88.0,95.6,4.8,99.2,95.4,102.0,85.0,grass
2021,Wimbledon,R16,W,Sonego,105.4,112.5,6.5,116.5,106.4,122.0,94.0,94.3,7.0,97.5,92.8,106.0,79.0,grass
2021,Wimbledon,R32,W,Norrie,106.8,112.5,7.6,115.6,109.0,126.0,98.0,95.4,3.5,98.1,93.3,102.0,87.0,grass
2021,Wimbledon,R64,W,Gasquet,107.7,113.6,6.2,116.6,110.8,124.0,95.0,96.7,7.3,100.7,93.9,111.0,81.0,grass
2021,Wimbledon,R128,W,Mannarino,106.8,111.6,8.0,115.4,106.1,123.0,91.0,98.9,3.4,100.1,96.7,107.0,91.0,grass
2019,US Open,QF,L,Dimitrov,105.3,113.6,5.2,116.2,109.3,123.0,100.0,91.9,7.1,96.8,91.5,105.0,74.0,hard
2019,US Open,R16,W,Goffin,108.4,113.0,7.0,116.6,108.8,125.0,95.0,96.9,4.3,101.0,94.5,106.0,91.0,hard
2019,US Open,R32,W,Evans,106.2,113.1,7.4,118.6,108.3,124.0,94.0,92.4,7.4,96.6,92.0,104.0,81.0,hard
2019,US Open,R64,W,Dzumhur,108.2,113.7,6.2,116.3,109.9,123.0,96.0,94.0,6.2,97.2,91.2,108.0,82.0,hard
2019,US Open,R128,W,Nagal,105.7,112.9,7.0,118.3,107.8,123.0,93.0,93.0,6.5,93.6,95.4,105.0,79.0,hard
2019,Wimbledon,F,L,Djokovic,109.2,116.6,6.3,120.4,113.2,126.0,99.0,95.8,5.2,95.5,98.4,108.0,85.0,grass
2019,Wimbledon,SF,W,Nadal,109.5,115.2,6.6,118.8,109.9,125.0,103.0,97.2,4.5,100.5,95.3,108.0,86.0,grass
2019,Wimbledon,QF,W,Nishikori,110.8,116.1,7.5,120.0,112.3,126.0,85.0,99.4,7.3,102.3,92.8,110.0,76.0,grass
2019,Wimbledon,R16,W,Berrettini,111.0,117.0,5.9,120.0,113.7,125.0,94.0,96.8,7.3,105.0,99.5,106.0,82.0,grass
2019,Wimbledon,R32,W,Pouille,110.3,114.9,7.1,119.4,111.4,125.0,96.0,99.6,6.6,103.7,94.5,108.0,84.0,grass
2019,Wimbledon,R64,W,Clarke,111.2,117.7,6.2,121.5,114.6,127.0,93.0,99.2,6.7,101.5,97.0,109.0,86.0,grass
2019,Wimbledon,R128,W,Harris,108.2,115.1,6.8,118.7,111.6,124.0,96.0,98.8,6.2,99.5,92.8,108.0,81.0,grass
2018,US Open,R16,L,Millman,106.9,115.8,6.4,119.2,112.9,125.0,97.0,97.3,7.5,101.3,93.7,113.0,66.0,hard
2018,US Open,R32,W,Kyrgios,109.6,116.5,6.7,119.4,113.1,124.0,91.0,95.6,5.9,97.9,96.4,107.0,85.0,hard
2018,US Open,R64,W,Paire,107.7,114.5,8.0,118.6,111.7,125.0,87.0,97.0,6.6,99.7,90.5,112.0,79.0,hard
2018,US Open,R128,W,Nishioka,109.8,114.9,7.2,119.7,111.7,127.0,91.0,97.7,7.3,101.8,97.6,112.0,82.0,hard
2018,Wimbledon,QF,L,Anderson,110.3,115.0,5.6,117.9,112.1,125.0,86.0,99.5,6.2,103.2,97.2,110.0,77.0,grass
2018,Wimbledon,R16,W,Mannarino,111.2,116.2,6.7,120.2,112.0,126.0,95.0,101.0,6.3,105.3,98.7,112.0,90.0,grass
2018,Wimbledon,R32,W,Struff,109.5,116.4,7.4,120.5,112.5,128.0,93.0,100.8,8.9,105.3,99.6,116.0,77.0,grass
2018,Wimbledon,R64,W,Lacko,110.3,116.0,6.8,120.1,111.8,125.0,97.0,96.7,9.4,101.0,91.3,111.0,79.0,grass
2018,Wimbledon,R128,W,Lajovic,109.5,114.4,9.1,119.3,109.2,125.0,87.0,96.4,9.9,101.3,85.0,110.0,81.0,grass
2017,US Open,QF,L,del,107.4,114.9,7.2,118.0,110.3,125.0,90.0,94.4,7.8,96.9,94.9,111.0,77.0,hard
2017,US Open,R16,W,Kohlschreiber,107.0,114.2,6.6,117.9,108.8,123.0,95.0,92.3,7.3,95.4,89.3,107.0,79.0,hard
2017,US Open,R32,W,Lopez,106.3,114.6,6.0,118.3,112.1,123.0,98.0,95.9,4.6,95.8,95.3,103.0,86.0,hard
2017,US Open,R64,W,Youzhny,104.8,112.0,8.3,116.5,107.6,124.0,83.0,93.3,8.1,96.6,99.5,110.0,66.0,hard
2017,US Open,R128,W,Tiafoe,107.3,116.1,4.8,117.8,112.8,124.0,104.0,96.1,7.0,100.5,94.4,112.0,79.0,hard
2017,Wimbledon,F,W,Cilic,110.0,113.1,7.6,117.6,110.4,123.0,89.0,99.3,5.9,99.3,93.0,111.0,88.0,grass
2017,Wimbledon,SF,W,Berdych,108.6,113.3,7.9,117.8,109.4,124.0,92.0,98.1,7.4,98.0,92.2,109.0,80.0,grass
2017,Wimbledon,QF,W,Raonic,111.3,115.4,8.6,119.3,111.9,126.0,89.0,101.7,5.1,104.3,103.0,112.0,91.0,grass
2017,Wimbledon,R16,W,Dimitrov,109.4,114.9,7.4,118.6,111.9,125.0,91.0,97.2,7.5,102.0,97.8,109.0,82.0,grass
2017,Wimbledon,R32,W,Zverev,107.1,115.0,7.6,119.8,110.2,126.0,97.0,94.6,7.1,100.3,96.0,113.0,82.0,grass
2017,Wimbledon,R64,W,Lajovic,109.3,115.6,7.0,119.4,113.1,125.0,96.0,99.3,7.7,101.8,97.0,113.0,84.0,grass
2017,Wimbledon,R128,W,Dolgopolov,110.5,113.1,9.1,116.8,108.8,125.0,87.0,100.9,4.2,91.0,101.5,105.0,91.0,grass
2017,Australian Open,F,W,Nadal,106.1,114.8,7.4,118.2,110.0,128.0,98.0,91.2,5.6,91.3,93.9,108.0,77.0,hard
2017,Australian Open,SF,W,Wawrinka,106.3,115.3,7.3,119.0,110.8,125.0,87.0,92.1,7.4,102.0,92.0,105.0,79.0,hard
2017,Australian Open,R16,W,Nishikori,110.5,116.7,6.4,119.8,113.3,124.0,96.0,95.6,8.4,100.7,95.0,112.0,77.0,hard
2017,Australian Open,R32,W,Berdych,107.4,114.9,7.3,120.0,110.3,126.0,100.0,96.2,7.1,100.6,90.0,107.0,80.0,hard
2017,Australian Open,R64,W,Rubin,105.8,114.2,8.6,117.7,111.6,126.0,79.0,92.6,7.1,93.0,96.3,103.0,74.0,hard
2017,Australian Open,R128,W,Melzer,108.1,114.5,8.4,118.5,113.1,125.0,88.0,96.4,5.9,99.6,96.0,107.0,78.0,hard
2016,Wimbledon,SF,L,Raonic,109.5,115.5,6.2,119.1,112.5,126.0,100.0,98.9,6.8,101.0,97.0,114.0,77.0,grass
2016,Wimbledon,QF,W,Cilic,111.1,117.4,7.9,121.8,114.3,128.0,90.0,100.3,6.7,103.3,102.0,111.0,80.0,grass
2016,Wimbledon,R16,W,Johnson,113.0,118.8,5.4,120.6,116.4,128.0,102.0,100.7,6.4,100.1,101.3,110.0,85.0,grass
2016,Wimbledon,R32,W,Evans,111.1,116.1,8.7,120.2,112.5,127.0,87.0,100.7,6.3,101.8,99.0,111.0,87.0,grass
